,job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,skill1,skill2,skill3,skill4,skill5
0,AI00001,AI Research Scientist,90376,USD,Senior Level,Contract,China,Medium Company,China,Hybrid,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,2024-11-07,1076,5.9,Smart Analytics,Tableau,PyTorch,Kubernetes,Linux,NLP
1,AI00002,AI Software Engineer,61895,USD,Entry Level,Contract,Canada,Medium Company,Ireland,Full Remote,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,2025-01-11,1268,5.2,TechCorp Inc,Deep Learning,AWS,Mathematics,Python,Docker
2,AI00003,AI Specialist,152626,USD,Mid-Senior Level,Freelance,Switzerland,Large Company,South Korea,No Remote,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,2025-04-07,1974,9.4,Autonomous Tech,Kubernetes,Deep Learning,Java,Hadoop,NLP
3,AI00004,NLP Engineer,80215,USD,Senior Level,Freelance,India,Medium Company,India,Hybrid,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,2025-02-24,1345,8.6,Future Systems,Scala,SQL,Linux,Python,Not required
4,AI00005,AI Consultant,54624,EUR,Entry Level,Part-time,France,Small Company,Singapore,Full Remote,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,2025-06-23,1989,6.6,Advanced Robotics,MLOps,Java,Tableau,Python,Not required
5,AI00006,AI Architect,123574,EUR,Senior Level,Contract,Germany,Medium Company,Germany,Hybrid,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,2024-10-04,819,5.9,Neural Networks Co,Data Visualization,R,SQL,Linux,Not required
6,AI00007,Principal Data Scientist,79670,GBP,Mid-Senior Level,Freelance,United Kingdom,Small Company,United Kingdom,No Remote,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,2025-02-28,1936,6.3,DataVision Ltd,R,Docker,MLOps,Not required,Not required
7,AI00008,NLP Engineer,70640,EUR,Entry Level,Freelance,France,Large Company,France,No Remote,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,2024-07-01,1286,7.6,Cloud AI Solutions,Python,SQL,Computer Vision,Java,Azure
8,AI00009,Data Analyst,160710,USD,Senior Level,Contract,Singapore,Large Company,Singapore,No Remote,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-11-04,2024-11-24,551,9.3,Quantum Computing Inc,Hadoop,Git,Mathematics,Python,Not required
9,AI00010,AI Software Engineer,102557,USD,Senior Level,Part-time,Austria,Medium Company,Austria,No Remote,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,2024-11-06,2340,5.8,Cloud AI Solutions,MLOps,GCP,Scala,Azure,Linux
